Date,Day,Week,Phase,Gym,Run,Run_km,Run_Pace,Double_Day,Notes,Result
29/10/2026,Thursday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,10,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
30/10/2026,Friday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,9.5,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
31/10/2026,Saturday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
01/11/2026,Sunday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Push,Long Run,20,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
02/11/2026,Monday,22,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,7.5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
03/11/2026,Tuesday,22,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
04/11/2026,Wednesday,22,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,15,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
05/11/2026,Thursday,22,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,13.5,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
06/11/2026,Friday,22,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,13,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
07/11/2026,Saturday,22,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
08/11/2026,Sunday,22,Phase 2 — Endurance (Oct–Dec),Push,Long Run,26,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
09/11/2026,Monday,23,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,7.5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
10/11/2026,Tuesday,23,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
11/11/2026,Wednesday,23,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,15.5,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
12/11/2026,Thursday,23,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,14,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
13/11/2026,Friday,23,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,13.5,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
14/11/2026,Saturday,23,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
15/11/2026,Sunday,23,Phase 2 — Endurance (Oct–Dec),Push,Long Run,27.2,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
16/11/2026,Monday,24,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,7.5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
17/11/2026,Tuesday,24,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
18/11/2026,Wednesday,24,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,16,5:00–5:30/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
19/11/2026,Thursday,24,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,14.5,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
20/11/2026,Friday,24,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,14,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
21/11/2026,Saturday,24,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
22/11/2026,Sunday,24,Phase 2 — Endurance (Oct–Dec),Push,Long Run,28.4,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
23/11/2026,Monday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
24/11/2026,Tuesday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
25/11/2026,Wednesday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,12.5,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
26/11/2026,Thursday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,11,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
27/11/2026,Friday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,10.5,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
28/11/2026,Saturday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
29/11/2026,Sunday,25 (Cutback),Phase 2 — Endurance (Oct–Dec),Push,Long Run,22.5,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
30/11/2026,Monday,26,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,8,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
01/12/2026,Tuesday,26,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
02/12/2026,Wednesday,26,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,16,5:00–5:30/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
03/12/2026,Thursday,26,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,15,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
04/12/2026,Friday,26,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,14.5,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
05/12/2026,Saturday,26,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
06/12/2026,Sunday,26,Phase 2 — Endurance (Oct–Dec),Push,Long Run,29.4,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
07/12/2026,Monday,27,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,8,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
08/12/2026,Tuesday,27,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
09/12/2026,Wednesday,27,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,16.5,5:00–5:30/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
10/12/2026,Thursday,27,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,15,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
11/12/2026,Friday,27,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,15,4:05–4:15/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
12/12/2026,Saturday,27,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
13/12/2026,Sunday,27,Phase 2 — Endurance (Oct–Dec),Push,Long Run,30.4,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
14/12/2026,Monday,28,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,8,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
15/12/2026,Tuesday,28,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
16/12/2026,Wednesday,28,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,17,5:00–5:30/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
17/12/2026,Thursday,28,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,15,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
18/12/2026,Friday,28,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,15,4:05–4:15/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
19/12/2026,Saturday,28,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
20/12/2026,Sunday,28,Phase 2 — Endurance (Oct–Dec),Push,Long Run,31.2,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
21/12/2026,Monday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
22/12/2026,Tuesday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
23/12/2026,Wednesday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,13.5,5:00–5:30/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
24/12/2026,Thursday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,12,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
25/12/2026,Friday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,11.5,4:05–4:15/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
26/12/2026,Saturday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
27/12/2026,Sunday,29 (Cutback),Phase 2 — Endurance (Oct–Dec),Push,Long Run,24,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
28/12/2026,Monday,30,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,8,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
29/12/2026,Tuesday,30,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
30/12/2026,Wednesday,30,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,17,5:00–5:30/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
31/12/2026,Thursday,30,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,15,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
01/01/2027,Friday,30,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,15,4:05–4:15/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
02/01/2027,Saturday,30,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
03/01/2027,Sunday,30,Phase 2 — Endurance (Oct–Dec),Push,Long Run,32,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
04/01/2027,Monday,31,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
05/01/2027,Tuesday,31,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
06/01/2027,Wednesday,31,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,16,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
07/01/2027,Thursday,31,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,14,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
08/01/2027,Friday,31,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,15,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
09/01/2027,Saturday,31,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
10/01/2027,Sunday,31,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,28,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
11/01/2027,Monday,32,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
12/01/2027,Tuesday,32,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
13/01/2027,Wednesday,32,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,16.5,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
14/01/2027,Thursday,32,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,14.5,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
15/01/2027,Friday,32,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,15.5,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
16/01/2027,Saturday,32,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
17/01/2027,Sunday,32,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,30,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
18/01/2027,Monday,33,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
19/01/2027,Tuesday,33,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
20/01/2027,Wednesday,33,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,17,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
21/01/2027,Thursday,33,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,15,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
22/01/2027,Friday,33,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,16,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
23/01/2027,Saturday,33,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
24/01/2027,Sunday,33,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,32,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
25/01/2027,Monday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
26/01/2027,Tuesday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
27/01/2027,Wednesday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,13.5,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
28/01/2027,Thursday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,12,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
29/01/2027,Friday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,12,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
30/01/2027,Saturday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
31/01/2027,Sunday,34 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,26,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
01/02/2027,Monday,35,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
02/02/2027,Tuesday,35,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
03/02/2027,Wednesday,35,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,17.5,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
04/02/2027,Thursday,35,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,15,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
05/02/2027,Friday,35,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,16.5,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
06/02/2027,Saturday,35,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
07/02/2027,Sunday,35,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,33,5:00–5:30/km (10km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
08/02/2027,Monday,36,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
09/02/2027,Tuesday,36,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
10/02/2027,Wednesday,36,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,18,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
11/02/2027,Thursday,36,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,15,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
12/02/2027,Friday,36,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,17,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
13/02/2027,Saturday,36,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
14/02/2027,Sunday,36,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,34,5:00–5:30/km (12km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
15/02/2027,Monday,37,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
16/02/2027,Tuesday,37,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
17/02/2027,Wednesday,37,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,18,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
18/02/2027,Thursday,37,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,16,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
19/02/2027,Friday,37,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,17,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
20/02/2027,Saturday,37,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
21/02/2027,Sunday,37,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,35,5:00–5:30/km (14km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
22/02/2027,Monday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
23/02/2027,Tuesday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
24/02/2027,Wednesday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,14,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
25/02/2027,Thursday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,12,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
26/02/2027,Friday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,13,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
27/02/2027,Saturday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
28/02/2027,Sunday,38 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,28,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
01/03/2027,Monday,39,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
02/03/2027,Tuesday,39,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
03/03/2027,Wednesday,39,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,18,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
04/03/2027,Thursday,39,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,16,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
05/03/2027,Friday,39,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,17,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
06/03/2027,Saturday,39,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
07/03/2027,Sunday,39,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,35,5:00–5:30/km (16km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
08/03/2027,Monday,40,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
09/03/2027,Tuesday,40,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
10/03/2027,Wednesday,40,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,18,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
11/03/2027,Thursday,40,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,16,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
12/03/2027,Friday,40,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,18,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
13/03/2027,Saturday,40,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
14/03/2027,Sunday,40,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,35,5:00–5:30/km (16km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
15/03/2027,Monday,41,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
16/03/2027,Tuesday,41,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
17/03/2027,Wednesday,41,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,18,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
18/03/2027,Thursday,41,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,16,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
